objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587177732014, 91.0472370260076, 0.416371421013787   , 25.40336, 22.26614, 20.52332, 19.141  , 18.37026, STAR , 0.0001187713 , 15.803, 16.549, 2.0116  , -2.266 , -11.258, 3.1372199999999992  , -0.74599934
1237646587177732051, 91.0550919380105, 0.412130234276507   , 24.97132, 21.89375, 20.02124, 18.76676, 17.98582, STAR , -7.725046e-05, 15.465, 15.488, 1.8629  , 6.624  , -18.56 , 3.077569999999998   , -0.022999763
1237646587177732226, 91.0864256437   , 0.247716659062224   , 24.62547, 22.45655, 20.53516, 19.2641 , 18.51288, QSO  , 3.650513     , 15.977, 15.995, 1.1023  , -1.981 , 8.479  , 2.16892             , -0.017999649
1237646587177732285, 91.103093732367 , 0.306396120083618   , 24.98313, 22.62403, 21.06059, 19.44498, 18.49284, STAR , 0.000162949  , 15.695, 15.63 , 1.8397  , 11.777 , -3.64  , 2.359099999999998   , 0.06499958
1237646587177797273, 91.1795400916585, 0.234994947419709   , 24.75424, 21.47874, 19.65572, 18.43208, 17.70551, STAR , 0.0002056438 , 14.947, 14.851, 1.7668  , -3.83  , -3.037 , 3.275500000000001   , 0.09599972
1237646587177797828, 91.2501710031856, 0.31249482316923    , 24.31404, 21.95711, 20.15556, 18.98055, 18.25944, STAR , 0.0002105404 , 15.39 , 16.057, -0.0696 , -2.098 , 5.277  , 2.3569299999999984  , -0.66699886
1237646587177863034, 91.4094817887437, 0.318594224042788   , 23.44885, 20.32757, 18.87082, 17.5827 , 16.88971, STAR , 0.0006692403 , 14.643, 14.514, 3.1659  , 17.172 , 28.557 , 3.1212799999999987  , 0.12899971
1237646587177863248, 91.3132097450988, 0.294460512954093   , 23.57761, 21.70938, 19.93633, 18.6869 , 17.98407, STAR , -4.222789e-05, 15.343, 15.336, 0.6127  , -2.456 , -14.776, 1.8682300000000005  , 0.0069999695
1237646587177863555, 91.383780584354 , 0.337449560735034   , 24.28173, 22.16967, 20.4257 , 19.26842, 18.48263, STAR , 8.565005e-05 , 16.291, 17.131, 0.9426  , -1.381 , 5.587  , 2.1120599999999996  , -0.84000015
1237646587699331269, 56.2324511610593, 0.846075085421382   , 20.8526 , 19.0393 , 18.19971, 17.81955, 17.58896, STAR , -2.532612e-05, 15.476, 15.37 , 0.3107  , 1.44   , -2.522 , 1.8132999999999981  , 0.10599995
1237646587699462283, 56.4857961494193, 0.843531400260514   , 17.98595, 16.77582, 16.2295 , 16.00589, 15.89195, STAR , 0.0001252378 , 14.43 , 14.525, 0.5586  , 2.332  , -2.129 , 1.2101299999999995  , -0.09499931
1237646587699658835, 56.9018943740659, 0.845329737938313   , 19.23049, 17.21716, 16.38172, 16.05841, 15.88405, STAR , -0.000201317 , 14.264, 14.394, 0.5319  , 1.588  , -5.605 , 2.01333             , -0.13000011
1237646587700379699, 58.6430391054112, 0.846502816333692   , 22.18819, 19.30975, 17.51979, 16.67711, 16.14737, STAR , 0.0001065905 , 13.243, 13.29 , 1.8191  , 7.341  , -8.285 , 2.8784399999999977  , -0.04699993
1237646587709882380, 80.224782868997 , 0.83425138907514    , 18.12716, 16.95737, 16.40913, 16.18926, 16.05978, STAR , -1.663173e-05, 14.562, 14.635, 0.7697  , -2.825 , -8.96  , 1.169789999999999   , -0.072999954
1237646587709882748, 80.3439842168852, 0.830512595005679   , 18.35316, 17.11153, 16.6132 , 16.39966, 16.27895, STAR , 0.0001360391 , 14.819, 14.905, 0.6831  , -0.326 , 6.395  , 1.2416300000000007  , -0.08599949
